Judul Lagu,Penyanyi,Genre,Lirik Lagu,Tahun Rilis,Label Emosi
damai cinta,erlyn suzan,Pop,"Bersama kamu ku merasa ..
Indah dan ku nikmati damai cinta...
Tak bisa ku ganti kan dan ku kan
Menjaga semua hooo...
Pastikan kau bisa menjaga semua..
Jangan kau mencoba merusak dan sirna..
Aku takan mudah dan tak semudah kau cari...

Jangan pernah lupa..
Kan semua yg tlah terjalin..
Cinta tak mudah kau jalin...
Tanpa adanya orang ternyaman...
Aku disini indah karna bersama mu ..
Jangan pernah terpisahkan...
Peluk dan rangkulah aku...
Ahh",2024,senang
sekali saja,ruang senja,Pop,"Sering kali anganku bertanya
Apa salah yang tlah ku lakukan
Mengapa setiap dari mereka
Bersikap seolah ku tak ada
Tak seorang pun mau melihat
Tak seorang pun mau mendekat
Apakah karna keadaan ku yang hina
Hingga layak jika kutak dianggap ada
Ingin kurasakan hangat canda dan tawa
Izinkan aku sekali saja
Tak seorang pun mau melihat
Tak seorang pun mau mendekat
Apakah karna aku terlahir berbeda
Hingga layak jika kutak dianggap ada
Ingin kurasakan hangat canda dan tawa
Izinkan aku
Apakah karna aku tak miliki dunia
Hingga layak jika kutak dianggap ada
Ingin kurasakan hangatnya bercengkrama
Izinkan aku izinkan aku izinkan aku
Sekali saja",2024,sedih
menunggu jauh,raflis mo-st,Pop,"Jalani kisah bersamamu
Yang nanti kan menjadi
Kenangan hidupku
Akankah kah lebih dari
Rasa ku merindu
Berharap saat nanti
Sejenak bertemu
Ku menunggu Jauh
Masih tak pernah beri rasa Indah
Ungkapkan bila nanti jenuh tiba
Sesal takkan pulihkan semua luka
Banyak hal yang telah terjadi
Tentang hari yang sunyi dan silih bergati
Tak adakah terketuk sedikit hatimu
Ceritakan kembali bilakah bertemu
A a a
Ku menunggu Jauh
Masih tak pernah beri rasa Indah
Ungkapkan bila nanti jenuh tiba
Sesal takkan pulihkan semua luka
Ouo ouo
Ku menunggu Jauh
Masih tak pernah beri rasa Indah
Ungkapkan bila nanti jenuh tiba
Sesal takkan pulihkan semua luka
A a a a
A a a
Hu hu
Hu u",2024,sedih
sah,sarah suhairi,Pop,"Tiada bintang kan bersinar
Tiada lagi bumi berputar
Jika ku tak bersamamu
Semuanya kan runtuh
Tiada tulang yang bergetar
Tiada senyuman yang ku gemar
Jika ku tak bersamamu
Semuanya kan runtuh
Baby I need to know how was your day
I know that life is hard jangan bersedih
Aku kan ada takda antara yang lain sementara
Ku sini selamanya yeah yeah
Jangan gerak walau seinchi
Girl you got the recipe macam kimchi
Jadi yakiniku kau kan pasti
Kahwiniku bila aku ready
Tak pernah ubah fikiran aku janji
Biarpun kau ugut aku ada saksi
Okay aku tak peduli
Kau kerat lah jari kecuali ini yeah
Kalau tak mana nak sarung cincin
Itu yang paling penting
Takda benda yang lain cause
Aku cuma mahukan kamu
Tiada bintang kan bersinar
Tiada lagi bumi berputar
Jika ku tak bersamamu
Semuanya kan runtuh
Tiada tulang yang bergetar
Tiada senyuman yang ku gemar
Jika ku tak bersamamu
Semuanya kan runtuh
Hold up lupakan semua yang dah berlalu
Tengok depan kan kau ada aku
Janji padaku kau takkan pergi
Tetap disini jangan biarku sunyi
Tolong percaya semua kataku
Engkau harus buktikan dulu
Memang takda yang lain cuma kamu
Jadi apa lagi yang kamu tunggu
Tak pernah ubah fikiran aku janji
Biarpun kau ugut aku ada saksi
Okay aku tak peduli
Kau kerat lah jari kecuali ini yeah
Kalau tak mana nak sarung cincin
Itu yang paling penting
Takda benda yang lain cause
Aku cuma mahukan kamu
Tiada bintang kan bersinar
Tiada lagi bumi berputar
Jika ku tak bersamamu
Semuanya kan runtuh
Tiada tulang yang bergetar
Tiada senyuman yang ku gemar
Jika ku tak bersamamu
Semuanya kan runtuh
Sekarang ku percaya
Kita ditakdir tuk bersama
Selamanya hingga ke hari tua
Genggam erat tanganku
Jangan pernah kau lepas
Kau tempat ku berteduh
Yang paling selamat
Tiada bintang kan bersinar
Tiada lagi bumi berputar
Jika ku tak bersamamu
Semuanya kan runtuh
Tiada tulang yang bergetar
Tiada senyuman yang ku gemar
Jika ku tak bersamamu
Semuanya kan runtuh
Tiada bintang kan bersinar
Tiada lagi bumi berputar
Jika ku tak bersamamu
Semuanya kan runtuh
Tiada tulang yang bergetar
Tiada senyuman yang ku gemar
Jika ku tak bersamamu
Semuanya kan runtuh
",2024,senang
lelah,bastian steel,Pop,"Perih kurasa
Saat ku tahu siapa kamu
Sungguh tega kau
Menduakan aku di depan mataku
Kurang apa aku
Semua kuberikan yang engkau inginkan
Tapi ternyata kau bohongi aku dan dustai aku
Aku lelah-lelah-lelah dibohongimu
Sungguh letih-letih-letih didustaimu
Sangat capek-capek jalani dengan kamu
Tolong serius dong, kamu dengan hatiku
Beribu-ribu cara telah kulakukan
Untuk membuatmu s'lalu mencintaiku
Tapi semua sia-sia kulakukan
Saatnya pergi dan tinggalkan kamu
Kurang apa aku
Semua kuberikan yang engkau inginkan
Tapi ternyata kau bohongi aku dan dustai aku
Aku lelah-lelah-lelah di bohongimu
Sungguh letih-letih-letih di dustaimu
Sangat capek-capek jalani dengan kamu
Tolong serius dong, kamu dengan hatiku
Beribu-ribu cara telah kulakukan
Untuk membuatmu s'lalu mencintaiku
Tapi semua sia-sia kulakukan
Saatnya pergi dan tinggalkan kamu
Ku salah memilih cinta
Kau memang bukan untukku
Lupakan semua tentang kita
Kuyakin bisa tanpamu
Tanpa adanya senyummu
Ku 'kan berdiri tanpa dirimu
Aku lelah-lelah-lelah di bohongimu
Sungguh letih-letih-letih di dustaimu
Sangat capek-capek jalani dengan kamu
Tolong serius dong, kamu dengan hatiku
Aku lelah-lelah-lelah di bohongimu
Sungguh letih-letih-letih di dustaimu
Sangat capek-capek jalani dengan kamu
Tolong serius dong, kamu dengan hatiku
Beribu-ribu cara telah kulakukan
Untuk membuatmu s'lalu mencintaiku (oh-wo)
Tapi semua sia-sia kulakukan
Saatnya pergi dan tinggalkan kamu
Dan tinggalkan kamu
Tinggalkan kamu
Dan tinggalkan kamu
Tinggalkan kamu",2016,marah
milikmu selamanya,ragilkun,Pop,"Apakah kau tahu
Didalam hatiku
Cintamu telah larut


Menjadi darahku

Betapa rinduku
Tak henti menahu
Indahnya namamu
Mengharap kau selalu ada

Menemani aku, saat tawa dan tangisku...

Cintaku ini cinta sejati
Kepadamu belahan jiwaku
Tak akan pernah lumpuh dan layu
Janji ku paut didalam hatimu
Selamanya aku milikmu
Selamanya aku milikmu...

Kurebahkan hidupku padamu
Yakini ku milikmu selamanya...

Cintaku ini cinta sejati
Kepadamu belahan jiwaku
Tak akan pernah lumpuh dan layu
Janji ku paut didalam hatimu...

Cintaku ini...
Kepadamu belahan jiwaku...
Ohhhh...
Hatimu...
Selamanya aku milikmu...
Selamanya aku milikmu...
Milikmu...",2015,senang
wanitaku,noah,Pop,"Kau lakukan yang kau inginkan
Kau tutup matamu dan kau berjalan
Ku terbangun dari lamunan
Dan ku tenggelam dalam mimpimu

Tak pernah habis dunia
Sampai ke ujung batasnya
Takkan berhenti hingga
Hatimu membeku

Kembali, berputar arah
Pulang padaku
Kembalilah ada aku
Yang bisa memelukmu

Apa yang kau cari wanitaku, apa yang kau cari
Tempatmu disini pujaanku, tempatmu disini
Tak perlukan itu wanitaku, tak perlu begitu
Tetaplah disini bersamaku, tetaplah disini

Tak pernah habis dunia
Sampai ke ujung batasnya
Takkan berhenti hingga
Hatimu membeku

Kembali, berputar arah
Pulang padaku
Kembalilah ada aku
Yang bisa memelukmu

Apa yang kau cari wanitaku, apa yang kau cari
Tempatmu disini pujaanku, tempatmu disini
Tak perlukan itu wanitaku, tak perlu begitu
Tetaplah disini bersamaku, tetaplah disini

Apa yang kau cari wanitaku, apa yang kau cari
Tempatmu disini pujaanku, tempatmu disini
Tak perlukan itu wanitaku, tak perlu begitu
Tetaplah disini bersamaku, tetaplah disini",2019,sedih
risalah hati,dewa 19,Pop,"Hidupku tanpa cintamu
Bagai malam tanpa bintang
Cintaku tanpa sambutmu
Bagai panas tanpa hujan
Jiwaku berbisik lirih
Ku harus milikimu
Aku bisa membuatmu jatuh cinta kepadaku
Meski kau tak cinta kepadaku
Beri sedikit waktu
Biar cinta datang karena telah terbiasa
Simpan mawar yang kuberi
Mungkin wanginya mengilhami
Sudikah dirimu untuk
Kenali aku dulu
Sebelum kau ludahi aku
Sebelum kau robek hatiku
Aku bisa membuatmu jatuh cinta kepadaku
Beri sedikit waktu
Biar cinta datang karena telah terbiasa
Aku bisa membuatmu jatuh cinta kepadaku
Meski kau tak cinta kepadaku
Beri sedikit waktu
Biar cinta datang karena telah terbiasa
Aku bisa membuatmu jatuh cinta kepadaku
Meski kau tak cinta kau tak cinta
Aku bisa membuatmu jatuh cinta kepadaku
Meski kau tak cinta kepadaku
Aku bisa membuatmu jatuh cinta kepadaku
Meski kau tak cinta kepadaku
Beri sedikit waktu
Biar cinta datang karena telah terbiasa
Hidupku tanpa cintamu
Bagai malam tanpa bintang
Cintaku tanpa sambutmu
Bagai panas tanpa hujan",2000,sedih
arjuna,dewa 19,Pop,"Sudah kudaki gunung tertinggi
Hanya untuk mencari di mana dirimu
Sudah kujelajahi isi bumi
Hanya untuk dapat hidup bersamamu
Sudah kuarungi laut samudra
Hanya untuk mencari tempat berlabuhmu
Tapi, semakin jauh ku mencari
Cinta semakin aku tak mengerti
Akulah Arjuna
Yang mencari cinta
Wahai wanita
Cintailah aku
Mungkin kutemui cinta sejati
Saat aku hembuskan napas terakhirku
Mungkin cinta sejati memang tak ada
Dalam cerita kehidupan ini
Akulah Arjuna
Yang mencari cinta
Wahai wanita
Cintailah aku
Akulah Arjuna
Arjuna
Akulah Arjuna
Akulah Arjuna
Akulah Arjuna
Akulah Arjuna
Akulah Arjuna
Akulah Arjuna
Yang mencari cinta
Wahai wanita
Cintailah aku
Akulah Arjuna
Yang mencari cinta
Wahai wanita
Cintailah aku",2002,sedih
angin,dewa 19,Pop,"Angin, tolonglah, aku sedang jatuh cinta
Tapi aku tak punya nyali 'tuk katakan
Bahwasanya setiap hari ku merindukan dia
Angin, masukkan aku ke dalam mimpinya (uh-la-la-la)
Jadikan aku raja dan dia ratunya (uh-la-la-la)
Buat dia selalu memikirkan diriku
Angin, katakan padanya, ah-ah-ah
Bahwa aku cinta dia, ah-ah-ah
Angin, sampaikan padanya, ah-ah-ah
Bahwa aku butuh dia, ah-ah-ah
Angin, tancapkanlah busur panah cintaku (uh-la-la-la)
Tancapkanlah cepat, tepat di jantung hatinya (uh-la-la-la)
Sebelum hatinya jadi beku dan membatu
Angin, katakan padanya, ah-ah-ah
Bahwa aku cinta dia, ah-ah-ah
Angin, sampaikan padanya, ah-ah-ah
Bahwa aku butuh dia, ah-ah-ah
Angin, katakan padanya, ah-ah-ah
Bahwa aku cinta dia, ah-ah-ah
Angin, sampaikan padanya, ah-ah-ah
Bahwa aku butuh dia, ah-ah-ah
Angin, katakan padanya, ah-ah-ah
Bahwa aku cinta dia, ah-ah-ah
Angin, sampaikan padanya, ah-ah-ah
Bahwa aku butuh dia, ah-ah-ah
Ah-ah, ah-ah-ah (uh-la-la-la, uh-la-la-la)
Ah-ah, ah-ah-ah (uh-la-la-la, uh-la-la-la)
Ah-ah, ah-ah-ah-ah-ah
Ah-ah, ah-ah-ah (uh-la-la-la, uh-la-la-la)
Ah-ah, ah-ah-ah (uh-la-la-la, uh-la-la-la)
Ah-ah, ah-ah-ah-ah-ah",2002,senang
mistikus cinta,dewa 19,Pop,"Ketika pertama kali
Jiwamu ingin selalu
Dekat dengan jiwaku yang belum
Bisa menerjemahkan segala
Arti pertemuan ini
Arti cumbu rayu ini
Yang mungkin bisa memusnahkan
Kenyataan hidup yang terjadi
Ketika jiwamu merasuk ke dalam
Aliran darahku dan meracuniku
Ketika jiwamu memeluk hatiku
Dan biarkan jiwaku cumbui jiwamu
Ketika kamu aku
Melebur menjadi satu
Dan hanya waktu yang mungkin bisa
Memahami apa yang terjadi
Apa yang sedang kurasa
Apa yang sedang kau rasa
Adalah cinta yang tak bisa
Dijelaskan dengan kata-kata
Ketika jiwamu merasuk ke dalam
Aliran darahku dan meracuniku
Ketika jiwamu memeluk hatiku
Dan biarkan jiwaku cumbui jiwamu
Ketika jiwamu merasuk ke dalam
Aliran darahku dan meracuniku
Ketika jiwamu memeluk hatiku
Dan biarkan jiwaku cumbui jiwamu
Ketika jiwamu merasuk ke dalam
Aliran darahku dan meracuniku
Ketika jiwamu memeluk hatiku
Dan biarkan jiwaku cumbui jiwamu",2002,senang
pangeran cinta,dewa 19,Pop,"Detik-detik berganti dengan detik
Menit pun silih berganti
Hari-hari pun terus berganti
Bulan-bulan juga terus berganti
Zaman-zaman pun terus berubah
Hidup ini juga pasti mati
Semua ini pasti akan musnah
Tetapi tidak cintaku padamu
Karena aku sang pangeran cinta
Malam-malam diganti dengan pagi
Pagi pun jadi siang
Tahun-tahun pun berganti abad
Yang muda pun pasti menjadi tua
Musim-musim pun terus berganti
Hidup ini juga pasti mati
Tak akan ada yang abadi
Tak akan ada yang kekal
Semua ini pasti akan musnah
Tetapi tidak cintaku padamu
Karena aku sang pangeran cinta
Semua ini pasti akan musnah
Tetapi tidak cintaku padamu
Karena aku sang pangeran cinta
Semua ini (semua ini)
Pasti akan musnah (pasti akan musnah)
Tetapi tidak (tetapi tidak)
Cintaku padamu (cintaku padamu)
Karena aku (karena aku)
Sang pangeran cinta (sang pangeran cinta)
Semua ini (semua ini)
Pasti akan musnah (pasti akan musnah)
Tetapi tidak (tetapi tidak)
Cintaku padamu (cintaku padamu)
Karena aku (karena aku)
Sang pangeran cinta (sang pangeran cinta)",2004,senang
kasidah cinta,dewa 19,Pop,"Ku jatuh cinta kepadamu
Saat pertama bertemu
Salahkah aku
Terlalu mencintai dirimu
Yang tak mungkin mencintai aku?
Oh, Tuhan, tolong
Aku langsung jatuh cinta kepadamu
Cinta pada pandangan pertama
Cinta yang bisa merubah jalan
Hidupku jadi lebih berarti
Oh, mungkin hanya keajaiban Tuhan
Yang bisa jadikan
Hamba-Nya yang cantik
Menjadi milikku
Aku langsung jatuh cinta kepadamu
Cinta pada pandangan pertama
Cinta yang bisa merubah jalan
Hidupku jadi lebih berarti
Aku bukanlah laki-laki
Yang mudah jatuh hatinya",2002,sedih
cintailah cinta,dewa 19,Pop,"Tuhan anug'rahi sebuah cinta
Kepada manusia untuk
Dapat saling menyayangi
Bila kebencian meracunimu
Takkan ada jalan keluar
Damai hanya jadi impian
Kita takkan bisa berlari
Dari kenyataan
Bahwa kita manusia
Tempatnya salah dan lupa
Jika masih ada
Cinta di hatimu
Maka, maafkanlah
Segala kesalahan
Cintailah cinta
Kita takkan bisa berlari
Dari kenyataan
Bahwa kita manusia
Tempatnya salah dan lupa
Jika masih ada
Cinta di hatimu
Maka, maafkanlah
Segala kesalahan
Cintailah cinta
Jika masih ada
Cinta di hatimu
Maka, maafkanlah
Segala kesalahan
Cintailah cinta
Jika masih ada
Cinta di hatimu
Maka, maafkanlah
Segala kesalahan
Cintailah cinta
Bila kamu bisa 'tuk memaafkan
Atas kesalahan manusia
Yang mungkin tak bisa dimaafkan
Tentu Tuhan pun akan memaafkan
Atas dosa yang pernah tercipta
Yang mungkin tak bisa diampuni",2002,tenang
cemburu,dewa 19,Pop,"Ingin kubunuh pacarmu
Saat dia cium bibir merahmu
Di depan kedua mataku
Hatiku terbakar jadinya, Cantik
Aku cemburu
Ingin kubunuh pacarmu
Saat dia peluk tubuh indahmu
Di depan teman-temanku
Makan hati jadinya, Cantik
Aku cemburu
Meskipun aku pacar rahasiamu
Meskipun aku selalu yang kedua
Tapi aku manusia
Yang mudah sakit hatinya
Mungkin memang nasibku
Yang s'lalu menunggu
Untuk jadi yang pertama
Mungkin kukatakan kepadanya saja
Bahwa aku juga milikmu
Bahwa aku juga, uh-uh-uh-uh
Bahwa aku juga kekasih hatimu
Meskipun aku pacar rahasiamu
Meskipun aku selalu yang kedua
Tapi aku manusia
Yang mudah sakit hatinya
Ingin kubunuh pacarmu
Saat dia peluk tubuh indahmu
Di depan kedua mataku (tepat di depan kedua mataku)
Hatiku terbakar jadinya, Cantik
Aku cemburu
Aku cemburu jadinya, Cantik
Aku cemburu jadinya, Cantik
Aku cemburu jadinya, Cantik
Aku cemburu jadinya, Cantik
Aku cemburu",2000,marah
hidup ini indah,dewa 19,Pop,"Matahari menyinari seisi bumi
Seperti engkau menyinari
Roh di dalam jasadku ini
Selamanya seperti hujan
Kau bashi jiwa yang kering
Hidup ini indah
Bila aku selalu
Ada di sisimu setiap waktu
Hingga aku hembuskan napas
Yang terakhir
Dan kita pun bertemu
Kau bagai udara yang kuhirup
Di setiap masa
Engkaulah darah yang mengalir
Dalam nadiku
Hidup ini indah
Bila aku selalu
Ada di sisimu setiap waktu
Hingga aku hembuskan napas
Yang terakhir
Dan kita pun bertemu
Maafkanlah selalu salahku
Kerna kau memang pemaaf
Dan aku hanya manusia
Hidup ini indah
Bila aku selalu
Ada di sisimu setiap waktu
Hingga aku hembuskan napas
Yang terakhir
Dan kita pun bertemu
Hanya kau dan aku
Dalam awal dan akhir",2004,senang
akhir cerita cinta,glenn fredly,Pop,"Sandiwarakah selama ini?
Setelah sekian lama kita t'lah bersama
Inikah akhir cerita cinta
Yang s'lalu aku banggakan di depan mereka?
Entah di mana kusembunyikan rasa malu
Kini harus aku lewati
Sepi hariku tanpa dirimu lagi
Biarkan kini ku berdiri
Melawan waktuku 'tuk melupakanmu
Walau pedih hati namun aku bertahan
Entah di mana kusembunyikan rasa malu
Kini harus aku lewati
Sepi hariku tanpa dirimu lagi
Biarkan kini ku berdiri
Melawan waktu
Kini harus aku lewati
(Sepi hariku tanpa dirimu)
Tanpa dirimu
(Biarkan kini ku berdiri melawan waktu)
'Tuk lupakanmu
('Tuk lupakanmu)
Walau pedih hati namun aku bertahan",2002,sedih
sekali ini saja,glenn fredly,Pop,"Bersamamu
Kulewati
Lebih dari seribu malam
Bersamamu
Yang kumau
Namun kenyataannya tak sejalan
Tuhan, bila masih ku diberi kesempatan
Izinkan aku untuk mencintanya
Namun bila waktuku telah habis dengannya
Biar cinta hidup s'kali ini saja
Bersamamu
Kulewati
Lebih dari seribu malam
Bersamamu
Yang kumau
Namun kenyataannya tak sejalan
Tuhan, bila masih ku diberi kesempatan
Izinkan aku untuk mencintanya
Namun bila waktuku telah habis dengannya
Biar cinta hidup s'kali ini saja
Tak sanggup bila harus jujur
Hidup tanpa hembusan nafasnya
Tuhan, bila waktu dapat kuputar kembali
Sekali lagi untuk mencintanya
Namun bila waktuku telah habis dengannya
Biarkan cinta ini (biarkan cinta ini)
Hidup untuk sekali ini saja",2002,sedih
kasih putih,glenn fredly,Pop,"Terdalam yang pernah kurasa
Hasratku hanyalah untukmu
Terukir manis dalam renunganku
Jiwamu jiwaku menyatu
Biarkanlah kurasakan
Hangatnya sentuhan kasihmu
Bawa daku penuhiku
Berilah diriku
Kasih putih di hatiku (Ku datang padamu, kekasihku)
Ku curahkan isi jiwaku
Hanyutkan daku dalam air itu
Kau bawa selamanya diriku
Biarkanlah kurasakan
Hangatnya sentuhan kasihmu
Bawa daku penuhiku
Berilah diriku
Kasih putih di hatiku
Ohhh-uwooooo
Biarkanlah kurasakan
Hangatnya sentuhan kasihmu
Bawa daku penuhiku
Berilah diriku
Kasih putih di hatiku, wo-hooooo
Bawa daku penuhiku
(Berilah diriku)
(Kasih putih ...) Kasih putih di hatiku
Denganmu",2000,senang
4 sehat 5 miliar,langit sore,Pop,"Sinar matahari
Di balik jendela kamarku
Sudah jam satu siang
Ku belum beranjak pergi

Tempat paling nyaman
Tak ada yang menghakimi
Bebas dari semua ekspektasi
Padaku

Ku tak butuh nasehat
Kata kata bijak
Ku tak butuh masukan
Butuhnya pemasukan
Hanya ingin bahagia
4 Sehat 5 Miliar

Ku tak butuh nasehat
Kata kata bijak
Ku tak butuh masukan
Butuhnya pemasukan
Hanya ingin bahagia
4 Sehat 5 Miliar
Hanya ingin bahagia
4 Sehat 5 Miliar",2024,tenang
akhir tak bahagia,misellia ikwan,Pop,"Malam ini
Bintang mengingatkanku padamu
Indah, terang
Seperti matamu yang s'lalu kupandang
Lembut tutur katamu, merdu tawamu
Parasmu yang menawan
Buat diriku tak bisa lupa
Dari banyaknya insan di dunia
Mengapa dirimu yang aku sangka
Bisa temani hari-hariku yang tak selalu indah
Walau kita tak bisa bersama?
Lembut tutur katamu, merdu tawamu
Parasmu yang menawan
Buat diriku tak bisa lupa, uh-uh-uh
Dari banyaknya insan di dunia
Mengapa dirimu yang aku sangka
Bisa temani hari-hariku yang tak selalu indah
Walau kita tak bisa bersama?
Dipertemukan semesta
Walau berakhir tak bahagia",2023,sedih
nanti kita seperti ini,batas senja,Pop,"Ini gambaran kita suatu hari nanti
Set'lah sekian lama kita jalani
Lewati masa-masa yang berarti
Kini ku sudah yakin pada satu hati
Yang kurasa tepat untuk temani
Sekarang hingga aku tua nanti
Ingin punya rumah 'tuk tempat bermesra
Kau dipanggil ibu, sementara aku ayah
Bertukar cerita di ruang k'luarga
Bercengk'rama dan menimang buah hati kita
Sederhana
Bahagia ini lengkap sudah
Sama-sama
Hingga nanti kita tutup mata
Ha-ah-ah-ah
Ha-ah-ah-ah
Ha-ah-ah-ah
Ingin punya rumah 'tuk tempat bermesra
Kau dipanggil ibu, sementara aku ayah
Bertukar cerita hingga lelap mata
Lalu datang pagi, kau memasak, ku bekerja
Sederhana
Bahagia ini lengkap sudah
Sama-sama
Hingga nanti ajal kita tiba
S'moga saja
Niat baik 'kan terwujud seg'ra
Asal kita
Percaya Dia Maha Segalanya
Jangan dulu lelah, yakin semua indah
Pejamkanlah mata, pada-Nya kita berserah",2022,senang
"jauh di hati, dekat di luka",gede jerson,Pop,"kita berdua pernah bermimpi langit
sekolah jadi saksi Tawa remaja cinta
pertama Kau janji takkan
pergi Hari berganti waktu berlalu
jarakmu bentang harapan baru Kukira
cinta tetap menyala
Ternyata engkau
berbeda Kau pilih dia saat ku percaya
hatimu masih untuk kita Kabar itu
hancurkan jiwa kau
bersanding aku
tersisa jauh di hati
Tapi luka senyummu kini bukan untukku
lagi kuhapus semua pesan lama namang
bayangmu tetap ada foto berdua di bangku
sekolah kini tinggal
cerita kau pilih dia ku percaya hatimu
Masih untuk
kita itu hancurkan jiwa kau
bersanding aku
tersisa jauh di
hati dekat kau semua kini bukan untuk
kulir mungkin kau
bahagia itu yang
buara walau bukan aku yang ada di
Aku belajar di kelas meski
hancur menjadi
kenangan tanpa masa
depan kau pilih dia saat ku percaya
hatimu masih untuk kita Kabar itu
hancurkan jiwa Kau
bersanding aku
tersisa jauh di hati
Tinggalkan cinta yang luka
Jauh di hati
dekati luka",2025,sedih
mati rasa,andien,Pop,"Sekian lama bersama
Hati ini terluka
Hanyalah kecewa yang kurasa
Mungkin inilah jalannya
Kita harus berpisah
Relakan semua selamanya
Aku telah mati rasa
Sungguh ku tlah mati rasa
Tolong akhiri hatiku tak sanggup lagi
Kusadar ku tak sempurna
Namun cintaku tlah sirna
Sudahlah sudah ku tlah mati rasa
Sakit yang kurasa
Kupendam dalam diam
Namun ku tak kuasa
Kutahu kuberharga",2023,sedih
rujuk cinta,chika agustine,Pop,"Kita pernah berpisah
Dan melepas ikrar cinta
Tanpa sebuah alasan
Yang memecah ikrar cinta
Dari egois diri
Penyesalan menyiksa hati
Namun, semua berlalu
Tak kembali memperbaiki janji suci
Rujuk cinta mengajarkan hidupku
Menjaga cinta dan menata hidup bersama
Rujuk cinta merubah hidupku
'Tuk saling menjaga keutuhan cinta
Di atas istana cinta
T'lah terukir kebahagiaan kita
Namun, kita menyatu
Di atas ayat, ikrar cinta kita s'lamanya
Rujuk cinta mengajarkan hidupku
Menjaga cinta (menjaga cinta) dan menata hidup bersama
Rujuk cinta merubah hidupku
'Tuk saling menjaga ('tuk saling menjaga) keutuhan cinta
Rujuk cinta mengajarkan hidupku (hidupku)
Menjaga cinta (menjaga cinta) dan menata hidup bersama
Rujuk cinta merubah hidupku (merubah hidupku)
'Tuk saling menjaga ('tuk saling menjaga) keutuhan cinta",2020,senang
percaya,lorensa brian,Pop,"Perjalanan menggapai mimpi
Menempuh hal yang belum pasti
Meski begitu bukan berarti
Harus berhenti di sini
Manusia memang tak sempurna
Hanya dapat menyusun rencana
Kita mesti berani mencoba
Berusaha serta berdoa
Raih inginmu
Yakin atas langkahmu
Bergerak ke depan
Tanpa perlu tergesa-gesa
Jangan menyerah
Kendati telah berdarah
Keringkan luka
Coba sampai bisa
Jika ternyata masih belum berhasil
Selayaknya mempelajarinya
Atur napas dan berbenah
Menjaga api tetap menyala
Tak perlu membandingkan dirimu
Dengan ihwal nan mengganggu
Semestinya berupaya
Dan percaya akan kuasa-Nya
Raih inginmu
Yakin atas langkahmu
Bergerak ke depan
Tanpa perlu tergesa-gesa
Jangan menyerah
Kendati telah berdarah
Keringkan luka
Coba sampai bisa
Keringkan luka
Coba sampai bisa",2021,tenang
setahun berlalu,akbar tawakal,Pop,"Gurindam dan irama
Tidak lagi ku hiraukan
Setelah api cinta terpadam
Apa yang tinggal kini
Hanya sisa kesal kelmarin
Menjadi simfoni mendayu
Pada setiap malam minggu

Setahun sudah berlalu
Februari muncul kembali
Dengan kehangatan semalam
Tanpa ku sedari
Ku petik mawar merah
Ku tulis sekuntum puisi
Tapi sayang pada siapa kan ku beri

Kesepian memaksa
Ku lihat wajah di cermin
Terpandang aprut di muka ku
Bekas cinta yang lama
Apakah tidakkan hilang
Kesan cinta yang terus mendatang
Bermain di jiwa ini",2024,sedih
reuni di masa senja,rusli zainudin,Pop,"Bersemu merah di wajahmu
Kala tatapan mata bertemu
Tak sengaja kumemandangmu
Terasa copot jantungku
Indah dunia tak tergantikan
Kala kau sambut hatiku
Langit selalu bersinar
Disudut matamu yang berbinar
Indah mimpi masa remaja
Tak kan sirna begitu saja
Walau kini kau tlah berdua
Seperti aku juga adanya
Kisah kita tinggal kenangan
Biarkan pergi bersama awan
Ketika reuni di masa senja
Kita bisa saling bercerita
Reff : Reuni di masa senja
Bertabur bunga-bunga
Kisah cinta dan luka
Bahagia dan derita
Reuni di masa senja
Puji syukur untukNya
Sang pemberi karunia
Untuk dunia
Dunia kita
Yang pernah merengkuh
Masa remaja
Indah",2024,sedih
apa bisa,delisha okta,Pop,"Apa yang ada di dalam hatimu
Sungguh, aku tak tahu
Saat kaunyatakan cinta kepadaku
Tak kusangka
Tuhan, tolong aku
Tenangkan hatiku
Yang sedang bergejolak
Apakah aku bisa mencintaimu?
Sepenuh hati, apa adanya
Apakah ku bisa ubah perasaanku?
Kar'na kau masih
Menjadi sahabat baikku
Saat kaunyatakan cinta kepadaku
Tak kusangka
Tuhan, tolong aku
Tenangkan hatiku
Yang sedang bergejolak
Apakah aku bisa mencintaimu?
Sepenuh hati, apa adanya
Apakah ku bisa ubah perasaanku?
Kar'na kau masih
Menjadi sahabat baikku
Tuhan, tolong aku
Tenangkan hatiku
Yang sedang bergejolak
Hu-oh-uh-oh
Apakah aku bisa mencintaimu?
Sepenuh hati, apa adanya (apa adanya)
Apakah ku bisa ubah perasaanku?
Kar'na kau masih
Menjadi sahabat baikku
Oh-oh-oh-oh-oh
Teman baikku",2021,tenang
